License Number,Status,License Type,Orig. Iss. Date,Expir. Date,Primary Owner,Premises Addr.,Business Name,Geo Code,County
7936,ACTIVE,21,9/14/1971,6/30/2021,"THRIFTY PAYLESS, INC.","2819 HOPYARD RD,PLEASANTON, CA  94588Census Tract:  4506.05",RITE AID STORE 5944,111,Alameda
13085,ACTIVE,21,10/1/1975,5/31/2021,VILLAGE INVESTMENTS INC,"5885 BROADWAY TER,OAKLAND, CA  94618Census Tract:  4042.00",VILLAGE MARKET,109,Alameda
16493,ACTIVE,21,12/26/1934,3/31/2021,PIEDMONT GROCERY CO,"4030-38 PIEDMONT AVE,OAKLAND, CA  94611Census Tract:  4041.02",,109,Alameda
27679,ACTIVE,21,7/1/1977,9/30/2021,PLAZA BOTTLE SHOP & MARKET INC,"15292 LIBERTY ST,SAN LEANDRO, CA  94578Census Tract:  4338.00",PLAZA BOTTLE SHOP & MARKET,112,Alameda
42933,ACTIVE,21,3/1/1976,6/30/2021,"THRIFTY PAYLESS, INC.","31091 MISSION BLVD,HAYWARD, CA  94544Census Tract:  4381.00",RITE AID STORE 5920,106,Alameda
43430,ACTIVE,21,1/1/1994,10/31/2021,COATES CAPITAL CORP,"5491 COLLEGE AVE,OAKLAND, CA  94618Census Tract:  4003.00",EDDIES DRIVE IN LIQUORS,109,Alameda
59319,ACTIVE,21,5/6/1974,9/30/2021,MITCHELL BROS IMPORTS INC,"821 WASHINGTON ST,OAKLAND, CA  94607Census Tract:  4031.00",G B RATTO & CO,109,Alameda
63789,ACTIVE,21,7/1/1974,6/30/2021,"THRIFTY PAYLESS, INC.","31836 ALVARADO BLVD,UNION CITY, CA  94587Census Tract:  4403.04",RITE AID STORE 5942,113,Alameda
86893,ACTIVE,20,3/20/1980,3/31/2021,MIRAGLIA ENTERPRISES INC,"2094 BURROUGHS AVE,SAN LEANDRO, CA  94577Census Tract:  4334.00",MIRAGLIA CATERING & EVENT PLANNING,112,Alameda
93820,ACTIVE,20,10/8/1980,10/31/2021,MONTEREY MARKET,"1550 HOPKINS ST,BERKELEY, CA  94707-2711Census Tract:  4218.00",MONTEREY MARKET,103,Alameda
107763,ACTIVE,21,6/23/1981,11/30/2021,"JIMENEZ, ABEL","1244 HIGH ST,OAKLAND, CA  94601Census Tract:  4073.00",LOS MEXICANOS MARKET INC,109,Alameda
111780,ACTIVE,21,9/1/1981,10/31/2021,STAR GROCERY,"3068 CLAREMONT AVE,BERKELEY, CA  94705Census Tract:  4238.00",STAR GROCERY,103,Alameda
119912,ACTIVE,21,3/29/1982,2/28/2021,"MOSLEH, HEZAM N","3198 ADELINE ST,BERKELEY, CA  94703Census Tract:  4239.01",M & H MARKET & LIQUOR,103,Alameda
128995,ACTIVE,20,1/25/1983,5/31/2021,KERMIT LYNCH WINE MERCHANT,"1605 SAN PABLO AVE,BERKELEY, CA  94702Census Tract:  4222.00",KERMIT LYNCH WINE MERCHANT,103,Alameda
130546,ACTIVE,21,12/5/1983,6/30/2021,SAFEWAY INC,"555 FLORESTA BLVD,SAN LEANDRO, CA  94578Census Tract:  4332.00",SAFEWAY INC #3111,112,Alameda
