,NAME,Population,stateNo,countyNo,County,Year
0,"Alameda County, California",1457095.0,06,001,Alameda,2009
1,"Alpine County, California",1153.0,06,003,Alpine,2009
2,"Amador County, California",38039.0,06,005,Amador,2009
3,"Butte County, California",217917.0,06,007,Butte,2009
4,"Calaveras County, California",46548.0,06,009,Calaveras,2009
5,"Colusa County, California",21001.0,06,011,Colusa,2009
6,"Contra Costa County, California",1015571.0,06,013,Contra Costa,2009
7,"Del Norte County, California",28729.0,06,015,Del Norte,2009
8,"El Dorado County, California",175941.0,06,017,El Dorado,2009
9,"Fresno County, California",890750.0,06,019,Fresno,2009
10,"Glenn County, California",27891.0,06,021,Glenn,2009
11,"Humboldt County, California",129003.0,06,023,Humboldt,2009
12,"Imperial County, California",160034.0,06,025,Imperial,2009
13,"Inyo County, California",17438.0,06,027,Inyo,2009
14,"Kern County, California",780953.0,06,029,Kern,2009
15,"Kings County, California",146696.0,06,031,Kings,2009
16,"Lake County, California",64756.0,06,033,Lake,2009
17,"Lassen County, California",34428.0,06,035,Lassen,2009
18,"Los Angeles County, California",9785295.0,06,037,Los Angeles,2009
19,"Madera County, California",144794.0,06,039,Madera,2009
20,"Marin County, California",246711.0,06,041,Marin,2009
21,"Mariposa County, California",17865.0,06,043,Mariposa,2009
22,"Mendocino County, California",86030.0,06,045,Mendocino,2009
23,"Merced County, California",242235.0,06,047,Merced,2009
24,"Modoc County, California",9162.0,06,049,Modoc,2009
25,"Mono County, California",12925.0,06,051,Mono,2009
26,"Monterey County, California",404922.0,06,053,Monterey,2009
27,"Napa County, California",132173.0,06,055,Napa,2009
28,"Nevada County, California",97063.0,06,057,Nevada,2009
29,"Orange County, California",2976831.0,06,059,Orange,2009
30,"Placer County, California",332059.0,06,061,Placer,2009
31,"Plumas County, California",20550.0,06,063,Plumas,2009
32,"Riverside County, California",2036304.0,06,065,Riverside,2009
33,"Sacramento County, California",1375605.0,06,067,Sacramento,2009
34,"San Benito County, California",54752.0,06,069,San Benito,2009
35,"San Bernardino County, California",1986635.0,06,071,San Bernardino,2009
36,"San Diego County, California",2987543.0,06,073,San Diego,2009
37,"San Francisco County, California",797271.0,06,075,San Francisco,2009
38,"San Joaquin County, California",664641.0,06,077,San Joaquin,2009
39,"San Luis Obispo County, California",262149.0,06,079,San Luis Obispo,2009
40,"San Mateo County, California",701886.0,06,081,San Mateo,2009
41,"Santa Barbara County, California",402025.0,06,083,Santa Barbara,2009
42,"Santa Clara County, California",1729378.0,06,085,Santa Clara,2009
43,"Santa Cruz County, California",251398.0,06,087,Santa Cruz,2009
44,"Shasta County, California",179387.0,06,089,Shasta,2009
45,"Sierra County, California",3240.0,06,091,Sierra,2009
46,"Siskiyou County, California",44404.0,06,093,Siskiyou,2009
47,"Solano County, California",406461.0,06,095,Solano,2009
48,"Sonoma County, California",464218.0,06,097,Sonoma,2009
49,"Stanislaus County, California",505165.0,06,099,Stanislaus,2009
50,"Sutter County, California",90731.0,06,101,Sutter,2009
51,"Tehama County, California",60601.0,06,103,Tehama,2009
52,"Trinity County, California",13922.0,06,105,Trinity,2009
53,"Tulare County, California",416299.0,06,107,Tulare,2009
54,"Tuolumne County, California",55761.0,06,109,Tuolumne,2009
55,"Ventura County, California",792313.0,06,111,Ventura,2009
